id,title,date_added,release_year,score
as1,the grand seduction,2021-03-30,2014,3.5
as10,david's mother,2021-04-01,1994,3.4
as100,wilder napalm,,1993,3.6
as1000,sinbad: make me wanna holla,,2014,3.6
as1001,simple gifts: the chamber music society at shaker village,,2016,3.6
as1002,simon's cat - classic collection,,2018,3.6
as1003,silver wolf,,1999,3.5
as1004,silver stallion,,1941,3.5
as1005,silver blaze,,1937,3.6
as1006,silver and gold,,2017,3.5
as1007,silk,,2014,3.6
as1008,silent witness,,2018,3.4
as1009,silent wings - the american glider pilots of wwii,,2007,3.5
as101,wild north,,2014,3.5
as1010,silence patton,,2018,3.6
as1011,silence (tamil) (4k uhd),,2020,3.4
as1012,silence (malayalam) (4k uhd),,2020,3.5
as1013,sigmund and the sea monsters,,2017,3.6
as1014,sid the science kid,,2008,3.5
as1015,sick song & more nursery rhymes for kids - kiiyii,,2020,3.6
as1016,siberia (2018),,2018,3.5
as1017,shoutoutoutout,,2011,3.6
as1018,shottas,,2002,3.6
as1019,shor se shuruaat,,2016,3.5
as102,wild kratts,,2011,3.4
as1020,shock and awe: the story of electricity,,2011,3.6
as1021,shk heroforce,,2018,3.6
as1022,shivaay,,2015,3.5
as1023,shipping wars,,2015,3.5
as1024,shinrin-yoku (forest bathing),,2019,3.5
as1025,shin chan spin-off vol.1  aliens vs. shinnosuke,,2016,3.6
as1026,sherlock holmes: the hound of the baskervilles,,1983,3.5
as1027,sherlock holmes & the woman in green,,1945,3.5
as1028,sherlock holmes & the secret weapon,,1943,3.5
as1029,shepherd,,2021,3.6
as103,wild geese,,2012,3.6
as1030,she's not our sister,,2011,3.6
as1031,shawn pelofsky: stretch it out,,2018,3.5
as1032,shaun the sheep - the farmer's llamas,,2015,3.5
as1033,shaun the sheep,,2012,3.5
as1034,sharknado 5: global swarming,,2017,3.6
as1035,sharknado 4: the 4th awakens,,2016,3.5
as1036,shark story: evolution of a master predator,,2013,3.6
as1037,shapes song & more learning songs for kids - kiiyii,,2020,3.5
as1038,shao lin temple,,1982,3.6
as1039,shane mauss: mating season,,2013,3.6
as104,wild colombia revealed,,2016,3.5
as1040,shakuntala devi,,2020,3.5
as1041,shakespeare uncovered,,2018,3.5
as1042,shaitaan haveli,,2018,3.6
as1043,shadow puppets,,2007,3.5
as1044,shadow force,,2008,3.4
as1045,shadow company,,2007,3.5
as1046,shadaa,,2019,3.6
as1047,shaadi mubarak,,2021,3.5
as1048,sex ed,,2014,3.4
as1049,seventeen (siebzhen),,2019,3.5
as105,wild boys,,2011,3.6
as1050,seven senses of the re’union,,2018,3.6
as1051,series_project_un_test_uhd,,2020,3.5
as1052,serial swindlers,,2018,3.5
as1053,serbia: old and new,,2019,3.5
as1054,separate ways,,1981,3.5
as1055,sentosha: battle wheels,,2018,3.6
as1056,sensitivity training,,2018,3.5
as1057,selfie dad,,2020,3.6
as1058,selena's secret,,2018,3.5
as1059,selah and the spades,,2020,3.5
as106,why we fight,,2006,3.5
as1060,"seeing, searching, being - william segal",,2010,3.5
as1061,seeing canada,,2019,3.5
as1062,seed of innocence,,1980,3.6
as1063,section 375,,2019,3.5
as1064,secrets of the universe,,2015,3.5
as1065,secrets of the dead: the nero files,,2019,3.5
as1066,secrets of the dead: the lost gardens of babylon,,2014,3.5
as1067,secrets of the castle,,2014,3.6
as1068,secret valley,,1937,3.5
as1069,secret state,,2012,3.6
as107,why i ran,,2008,3.6
as1070,secret life of the hospital bed,,2017,3.5
as1071,secret diary of the holocaust,,2009,3.5
as1072,secret diary of a call girl,,2011,3.6
as1073,secondhand hearts,,2020,3.6
as1074,second  war diary - the war day by day,,2014,3.5
as1075,seated yoga level i 13 minutes,,2016,3.5
as1076,seatbelt psychic,,2018,3.5
as1077,searching for bobby fischer,,1993,3.5
as1078,searching for augusta: the forgotten angel of bastogne,,2016,3.5
as1079,sean bones: live in concert,,2011,3.6
as108,whoop!,,2018,3.6
as1080,sea power,,2005,3.5
as1081,sea gypsies,,2016,3.6
as1082,scrubs,,2010,3.5
as1083,scrapyard supercar,,2019,3.5
as1084,scott & bailey,,2016,3.5
as1085,scorpio men on prozac,,2020,3.5
as1086,scigirls,,2010,3.6
as1087,school spirits,,2020,3.5
as1088,scenic walks around the world,,2008,3.5
as1089,scenery channel,,2017,3.5
as109,who wrote the new testament?,,2016,3.6
as1090,scaredy squirrel,2021-03-30,2012,3.5
as1091,say yes,,2019,3.5
as1092,sawan ko aane do,,1979,3.5
as1093,savyasachi,,2018,3.6
as1094,savoir adore,,2006,3.5
as1095,saving zoë,,2019,3.6
as1096,saved by grace,,2015,3.5
as1097,sasheer zamata: pizza mind,,2017,3.5
as1098,sas rogue warriors,,2018,3.6
as1099,sarah colonna: i can't feel my legs,,2015,3.6
as11,forest fairies,2021-04-04,2016,3.6
as110,who put the klan into ku klux klan,,2018,3.5
as1100,sandpaper,,2019,3.6
as1101,sand castles,,2014,3.6
as1102,san fernando valley,,1944,3.5
as1103,same kind of different as me,,2017,3.5
as1104,salvage: code red,,2009,3.6
as1105,salome where she danced,,1945,3.5
as1106,saleslady,,1938,3.5
as1107,sakka podu podu raja,,2017,3.5
as1108,saints and soldiers: airborne creed,,2012,3.5
as1109,sahil shah’s: childish behaviour,,2018,3.5
as111,who killed doc robin,,1948,3.5
as1110,sagrada reset,,2017,3.5
as1111,saaho (telugu),,2019,3.5
as1112,saaho (tamil),,2019,3.5
as1113,saaho (malayalam),,2019,3.6
as1114,saaho (kannada),,2019,3.5
as1115,ryan shaw,,2004,3.5
as1116,ryan bingham live,,2016,3.5
as1117,rx100,,2018,3.5
as1118,ruyi's royal love in the palace,,2018,3.6
as1119,rustum,,2019,3.6
as112,whitney cummings: money shot,,2010,3.6
as1120,russell peters: deported,,2020,3.5
as1121,rupture,,2017,3.6
as1122,running for grace,,2018,3.5
as1123,runnin' from my roots,,2018,3.5
as1124,runaway squad,,2010,3.5
as1125,rumble: the indians who rocked the world,,2017,3.5
as1126,rudy ruettiger: the walk on,,2018,3.4
as1127,rubbadubbers,,2005,3.6
as1128,rotters,,2015,3.6
as1129,ross kemp: middle east,,2010,3.6
as113,whitechapel,,2013,3.5
as1130,rose and maloney,,2005,3.6
as1131,root of the problem,,2020,3.6
as1132,room at the top,,2012,3.5
as1133,room 6,,2006,3.6
as1134,"ronja, the robber's daughter",,2017,3.5
as1135,romola,,1924,3.5
as1136,rome - empire without limit,,2016,3.5
as1137,romance on the range,,1942,3.5
as1138,roman holiday,,1953,3.5
as1139,rolling home,,1946,3.7
as114,white tiger,,2021,3.5
as1140,rolie polie olie,,1998,3.5
as1141,rodeo girls,,2014,3.6
as1142,rodeo & juliet,,2015,3.5
as1143,rocky and bullwinkle,,2019,3.5
as1144,robin hood (silent),,1922,3.5
as1145,robert,,2015,3.5
as1146,rob schneider: soy sauce and the holocaust,,2013,3.6
as1147,rob delaney: jackie,,2020,3.5
as1148,road dogz,,2002,3.5
as1149,rivers and roads: the head and the heart - live from pike place market,,2020,3.5
as115,white savior: racism in the american church,,2019,3.5
as1150,ritual,,2017,3.5
as1151,rise of the great white shark,,2017,3.5
as1152,right at your door,,2007,3.5
as1153,riders of the whistling pines,,1949,3.5
as1154,riders of the rockies,,1937,3.6
as1155,ride,,2015,3.6
as1156,rickover: the birth of nuclear power,,2014,3.6
as1157,rick steves' europe,,2018,3.6
as1158,rick stein's mediterranean escapes,,2007,3.5
as1159,rick stein's long weekends,,2016,3.7
as116,white dragon,,2019,3.6
as1160,rick stein's india,,2013,3.5
as1161,rick stein's far eastern odyssey,,2009,3.5
as1162,rick stein and the japanese ambassador,,2006,3.5
as1163,richard simmons' dream maker,,2017,3.5
as1164,richard pryor: icon,,2014,3.6
